order_id,order_amount,order_date,customer_id,status,gateway,amount_reported,merchant_ref
ORD-0001,445.08,2024-03-11,CUST-0008,paid,cashfree,,
ORD-0002,7457.8,2024-05-19,CUST-0044,paid,razorpay,,
ORD-0003,2342.43,2024-05-09,CUST-0006,paid,razorpay,,
ORD-0004,5539.88,2024-02-26,CUST-0045,paid,cashfree,,
ORD-0005,8096.22,2024-06-27,CUST-0049,paid,razorpay,,
ORD-0006,3498.29,2024-01-24,CUST-0049,paid,razorpay,,
ORD-0007,2792.04,2024-01-12,CUST-0039,paid,payu,,
ORD-0008,5609.45,2024-06-09,CUST-0006,paid,payu,,
ORD-0009,6679.72,2024-03-15,CUST-0003,paid,razorpay,,
ORD-0010,4642.97,2024-04-03,CUST-0018,paid,payu,,
ORD-0011,7077.14,2024-06-23,CUST-0018,paid,cashfree,,
ORD-0012,2598.9,2024-04-28,CUST-0047,paid,cashfree,,
ORD-0013,5657.55,2024-06-24,CUST-0045,paid,cashfree,,
ORD-0014,3291.12,2024-03-09,CUST-0052,paid,razorpay,,
ORD-0015,7234.84,2024-02-24,CUST-0057,paid,cashfree,,
ORD-0016,1600.0,2024-02-05,CUST-0030,paid,cashfree,,
ORD-0017,5928.36,2024-05-29,CUST-0048,paid,payu,,
ORD-0018,5035.96,2024-01-13,CUST-0033,paid,razorpay,,
ORD-0019,6044.21,2024-04-08,CUST-0028,paid,cashfree,,
ORD-0020,9715.6,2024-01-03,CUST-0017,paid,cashfree,,
ORD-0021,6480.78,2024-01-29,CUST-0050,paid,payu,,
ORD-0022,8782.48,2024-03-08,CUST-0047,paid,razorpay,,
ORD-0023,8447.52,2024-05-09,CUST-0020,paid,cashfree,,
ORD-0024,9543.34,2024-05-15,CUST-0035,paid,razorpay,,
ORD-0025,9304.24,2024-03-19,CUST-0008,paid,razorpay,,
ORD-0026,1039.32,2024-05-04,CUST-0006,paid,cashfree,,
ORD-0027,4857.29,2024-05-20,CUST-0043,paid,razorpay,,
ORD-0028,9649.79,2024-05-18,CUST-0028,paid,cashfree,,
ORD-0029,3859.15,2024-05-12,CUST-0042,paid,cashfree,,
ORD-0030,406.11,2024-05-21,CUST-0022,paid,razorpay,,
ORD-0031,6384.18,2024-02-28,CUST-0046,paid,razorpay,,
ORD-0032,2532.21,2024-06-20,CUST-0033,paid,razorpay,,
ORD-0033,8846.47,2024-05-27,CUST-0060,paid,cashfree,,
ORD-0034,1124.3,2024-06-17,CUST-0013,paid,payu,,
ORD-0035,7344.21,2024-06-21,CUST-0056,paid,payu,,
ORD-0036,8643.53,2024-03-04,CUST-0052,paid,payu,,
ORD-0037,1998.0,2024-04-28,CUST-0028,paid,razorpay,,
ORD-0038,695.72,2024-05-18,CUST-0007,paid,cashfree,,
ORD-0039,4182.45,2024-05-03,CUST-0011,paid,razorpay,,
ORD-0040,221.12,2024-04-09,CUST-0025,paid,razorpay,,
ORD-0041,9954.15,2024-05-22,CUST-0047,paid,cashfree,,
ORD-0042,5875.39,2024-05-18,CUST-0004,paid,razorpay,,
ORD-0043,4872.05,2024-05-15,CUST-0038,paid,razorpay,,
ORD-0044,2020.9,2024-06-01,CUST-0055,paid,razorpay,,
ORD-0045,9426.7,2024-05-25,CUST-0008,paid,payu,,
ORD-0046,4307.98,2024-05-29,CUST-0006,paid,cashfree,,
ORD-0047,2538.88,2024-04-11,CUST-0021,failed,cashfree,,
ORD-0048,9303.45,2024-01-19,CUST-0021,paid,payu,,
ORD-0049,917.88,2024-02-24,CUST-0007,paid,cashfree,,
ORD-0050,2593.74,2024-03-13,CUST-0057,paid,razorpay,,
ORD-0051,6193.83,2024-06-16,CUST-0020,paid,cashfree,,
ORD-0052,6700.55,2024-02-04,CUST-0060,paid,payu,,
ORD-0053,1723.23,2024-03-13,CUST-0036,paid,cashfree,,
ORD-0054,8557.69,2024-05-09,CUST-0041,paid,cashfree,,
ORD-0055,6415.35,2024-03-11,CUST-0006,failed,razorpay,,
ORD-0056,9801.04,2024-02-11,CUST-0041,paid,razorpay,,
ORD-0057,1296.25,2024-06-25,CUST-0001,paid,cashfree,,
ORD-0058,1448.84,2024-03-19,CUST-0028,paid,razorpay,,
ORD-0059,2645.14,2024-01-27,CUST-0044,paid,razorpay,,
ORD-0060,7544.13,2024-03-01,CUST-0040,paid,payu,,
ORD-0061,7417.6,2024-03-26,CUST-0012,paid,razorpay,,
ORD-0062,1759.98,2024-06-28,CUST-0018,paid,razorpay,,
ORD-0063,2155.61,2024-04-27,CUST-0015,paid,payu,,
ORD-0064,431.89,2024-02-19,CUST-0015,paid,razorpay,,
ORD-0065,2935.15,2024-06-13,CUST-0050,paid,razorpay,,
ORD-0066,9403.58,2024-01-30,CUST-0022,paid,cashfree,,
ORD-0067,1262.24,2024-04-21,CUST-0003,paid,payu,,
ORD-0068,9844.53,2024-01-30,CUST-0039,paid,payu,,
ORD-0069,4472.93,2024-05-13,CUST-0046,paid,razorpay,,
ORD-0070,3435.63,2024-03-21,CUST-0059,paid,cashfree,,
ORD-0071,6734.88,2024-03-24,CUST-0020,paid,cashfree,,
ORD-0072,4319.95,2024-04-07,CUST-0013,paid,razorpay,,
ORD-0073,8369.67,2024-03-18,CUST-0036,paid,payu,,
ORD-0074,6615.46,2024-04-29,CUST-0039,paid,cashfree,,
ORD-0075,7977.81,2024-02-13,CUST-0031,paid,cashfree,,
ORD-0076,3484.51,2024-03-01,CUST-0040,paid,cashfree,,
ORD-0077,652.85,2024-05-01,CUST-0002,paid,razorpay,,
ORD-0078,2105.27,2024-06-27,CUST-0037,paid,cashfree,,
ORD-0079,6938.01,2024-01-28,CUST-0042,paid,razorpay,,
ORD-0080,4752.12,2024-05-22,CUST-0034,failed,cashfree,,
ORD-0081,5404.56,2024-05-23,CUST-0043,paid,payu,,
ORD-0082,5146.32,2024-05-20,CUST-0058,paid,cashfree,,
ORD-0083,2739.82,2024-03-04,CUST-0029,paid,payu,,
ORD-0084,4510.31,2024-03-14,CUST-0018,paid,razorpay,,
ORD-0085,1555.93,2024-02-29,CUST-0006,paid,cashfree,,
ORD-0086,4265.29,2024-03-25,CUST-0005,paid,razorpay,,
ORD-0087,391.39,2024-05-27,CUST-0045,paid,cashfree,,
ORD-0088,7524.91,2024-05-19,CUST-0035,paid,payu,,
