payment_id,order_id,gateway,amount,payment_date,status,narration
cf_000001,ORD-0001,cashfree,445.08,2024-03-11,captured,
pay_000002,ORD-0002,razorpay,7457.8,2024-05-19,captured,
pay_000003,ORD-0003,razorpay,2342.43,2024-05-09,captured,
cf_000004,ORD-0004,cashfree,5539.88,2024-02-27,captured,
pay_000005,ORD-0005,razorpay,8096.22,2024-06-28,captured,
pay_000006,ORD-0006,razorpay,3498.29,2024-01-25,captured,
pyu_000007,ORD-0007,payu,2792.04,2024-01-13,captured,
pyu_000008,ORD-0008,payu,5609.45,2024-06-10,captured,
pay_000009,ORD-0009,razorpay,6679.72,2024-03-15,captured,
pyu_000010,ORD-0010,payu,4642.97,2024-04-03,captured,
cf_000011,ORD-0011,cashfree,7077.14,2024-06-23,captured,
cf_000012,ORD-0012,cashfree,2598.9,2024-04-29,captured,
cf_000013,ORD-0013,cashfree,5657.55,2024-06-25,captured,
pay_000014,ORD-0014,razorpay,3291.12,2024-03-09,captured,
cf_000015,ORD-0015,cashfree,7234.84,2024-02-25,captured,
cf_000016,ORD-0016,cashfree,1600.0,2024-02-05,captured,
pyu_000017,ORD-0017,payu,5928.36,2024-05-30,captured,
pay_000018,ORD-0018,razorpay,5035.96,2024-01-13,captured,
cf_000019,ORD-0019,cashfree,6044.21,2024-04-09,captured,
cf_000020,ORD-0020,cashfree,9715.6,2024-01-03,captured,
pyu_000021,ORD-0021,payu,6480.78,2024-01-30,captured,
pay_000022,ORD-0022,razorpay,8782.48,2024-03-08,captured,
cf_000023,ORD-0023,cashfree,8447.52,2024-05-09,captured,
pay_000024,ORD-0024,razorpay,9543.34,2024-05-15,captured,
pay_000025,ORD-0025,razorpay,9304.24,2024-03-19,captured,
cf_000026,ORD-0026,cashfree,1039.32,2024-05-04,captured,
pay_000027,ORD-0027,razorpay,4857.29,2024-05-20,captured,
cf_000028,ORD-0028,cashfree,9649.79,2024-05-18,captured,
cf_000029,ORD-0029,cashfree,3859.15,2024-05-13,captured,
pay_000030,ORD-0030,razorpay,406.11,2024-05-21,captured,
pay_000031,ORD-0031,razorpay,6384.18,2024-02-28,captured,
pay_000032,ORD-0032,razorpay,2532.21,2024-06-21,captured,
cf_000033,ORD-0033,cashfree,8846.47,2024-05-28,captured,
pyu_000034,ORD-0034,payu,1124.3,2024-06-18,captured,
pyu_000035,ORD-0035,payu,7344.21,2024-06-21,captured,
pyu_000036,ORD-0036,payu,8643.53,2024-03-04,captured,
pay_000037,ORD-0037,razorpay,1998.0,2024-04-28,captured,
cf_000038,ORD-0038,cashfree,695.72,2024-05-18,captured,
pay_000039,ORD-0039,razorpay,4182.45,2024-05-03,captured,
pay_000040,ORD-0040,razorpay,221.12,2024-04-10,captured,
cf_000041,ORD-0041,cashfree,9954.15,2024-05-23,captured,
pay_000042,ORD-0042,razorpay,5875.39,2024-05-18,captured,
pay_000043,ORD-0043,razorpay,4872.05,2024-05-15,captured,
pay_000044,ORD-0044,razorpay,2020.9,2024-06-01,captured,
pyu_000045,ORD-0045,payu,9426.7,2024-05-25,captured,
cf_000046,ORD-0046,cashfree,4307.98,2024-05-30,captured,
cf_000047,ORD-0047,cashfree,2538.88,2024-04-11,captured,
pyu_000048,ORD-0048,payu,9303.45,2024-01-19,captured,
cf_000049,ORD-0049,cashfree,917.88,2024-02-25,captured,
pay_000050,ORD-0050,razorpay,2593.74,2024-03-13,captured,
cf_000051,ORD-0051,cashfree,6193.83,2024-06-16,captured,
pyu_000052,ORD-0052,payu,6700.55,2024-02-05,captured,
cf_000053,ORD-0053,cashfree,1723.23,2024-03-13,captured,
cf_000054,ORD-0054,cashfree,8557.69,2024-05-10,captured,
pay_000055,ORD-0055,razorpay,6415.35,2024-03-11,captured,
pay_000056,ORD-0056,razorpay,9801.04,2024-02-12,captured,
cf_000057,ORD-0057,cashfree,1296.25,2024-06-25,captured,
pay_000058,ORD-0058,razorpay,1448.84,2024-03-20,captured,
pay_000059,ORD-0059,razorpay,2645.14,2024-01-28,captured,
pyu_000060,ORD-0060,payu,7544.13,2024-03-01,captured,
pay_000061,ORD-0061,razorpay,7417.6,2024-03-27,captured,
pay_000062,ORD-0062,razorpay,1759.98,2024-06-28,captured,
pyu_000063,ORD-0063,payu,2155.61,2024-04-28,captured,
pay_000064,ORD-0064,razorpay,431.89,2024-02-20,captured,
pay_000065,ORD-0065,razorpay,2935.15,2024-06-14,captured,
cf_000066,ORD-0066,cashfree,9403.58,2024-01-31,captured,
pyu_000067,ORD-0067,payu,1262.24,2024-04-22,captured,
pyu_000068,ORD-0068,payu,9844.53,2024-01-31,captured,
pay_000069,ORD-0069,razorpay,4472.93,2024-05-13,captured,
cf_000070,ORD-0070,cashfree,3435.63,2024-03-21,captured,
cf_000071,ORD-0071,cashfree,6734.88,2024-03-25,captured,
pay_000072,ORD-0072,razorpay,4319.95,2024-04-07,captured,
pyu_000073,ORD-0073,payu,8369.67,2024-03-19,captured,
cf_000074,ORD-0074,cashfree,6615.46,2024-04-30,captured,
cf_000075,ORD-0075,cashfree,7977.81,2024-02-13,captured,
cf_000076,ORD-0076,cashfree,3484.51,2024-03-02,captured,
pay_000077,ORD-0077,razorpay,652.85,2024-05-01,captured,
cf_000078,ORD-0078,cashfree,2105.27,2024-06-28,captured,
pay_000079,ORD-0079,razorpay,6938.01,2024-01-29,captured,
cf_000080,ORD-0080,cashfree,4752.12,2024-05-22,captured,
pyu_000081,ORD-0081,payu,5404.56,2024-05-24,captured,
cf_000082,ORD-0082,cashfree,5146.32,2024-05-21,captured,
pyu_000083,ORD-0083,payu,2739.82,2024-03-05,captured,
pay_000084,ORD-0084,razorpay,4510.31,2024-03-14,captured,
cf_000085,ORD-0085,cashfree,1555.93,2024-03-01,captured,
pay_000086,ORD-0086,razorpay,4265.29,2024-03-26,captured,
cf_000087,ORD-0087,cashfree,391.39,2024-05-28,captured,
pyu_000088,ORD-0088,payu,7524.91,2024-05-19,captured,
pyu_000089,ORD-0089,payu,484.41,2024-03-28,captured,
pyu_000090,ORD-0090,payu,1450.62,2024-06-08,captured,
cf_000091,ORD-0091,cashfree,1022.6,2024-04-19,captured,
pyu_000092,ORD-0092,payu,3407.73,2024-04-27,captured,
pyu_000093,ORD-0093,payu,7568.94,2024-04-18,captured,
cf_000094,ORD-0094,cashfree,710.39,2024-03-30,captured,
pay_000095,ORD-0095,razorpay,2153.54,2024-01-06,captured,
cf_000096,ORD-0096,cashfree,5726.34,2024-02-26,captured,
pyu_000097,ORD-0097,payu,6137.14,2024-01-30,captured,
cf_000098,ORD-0098,cashfree,9097.75,2024-04-07,captured,
cf_000099,ORD-0099,cashfree,8338.77,2024-03-03,captured,
cf_000100,ORD-0100,cashfree,8093.37,2024-05-24,captured,
cf_000101,ORD-0101,cashfree,875.71,2024-06-15,captured,
pyu_000102,ORD-0102,payu,4448.1,2024-04-03,captured,
pay_000103,ORD-0103,razorpay,5312.6,2024-06-16,captured,
cf_000104,ORD-0104,cashfree,4937.79,2024-04-22,captured,
pay_000105,ORD-0105,razorpay,8839.1,2024-03-04,captured,
pyu_000106,ORD-0106,payu,481.23,2024-03-24,captured,
pyu_000107,ORD-0107,payu,2940.37,2024-06-02,captured,
pay_000108,ORD-0108,razorpay,4182.59,2024-05-22,captured,
cf_000109,ORD-0109,cashfree,4591.66,2024-01-05,captured,
cf_000110,ORD-0110,cashfree,3200.51,2024-05-29,captured,
pyu_000111,ORD-0111,payu,9965.99,2024-05-21,captured,
pyu_000112,ORD-0112,payu,2663.5,2024-01-31,captured,
pay_000113,ORD-0113,razorpay,7437.59,2024-03-12,captured,
pyu_000114,ORD-0114,payu,3736.27,2024-03-18,captured,
pyu_000115,ORD-0115,payu,9747.12,2024-05-22,captured,
cf_000116,ORD-0116,cashfree,7576.61,2024-01-27,captured,
pyu_000117,ORD-0117,payu,3538.58,2024-01-15,captured,
pay_000118,ORD-0118,razorpay,6367.94,2024-01-14,captured,
pyu_000119,ORD-0119,payu,9939.4,2024-02-01,captured,
cf_000120,ORD-0120,cashfree,7801.02,2024-04-08,captured,
cf_000121,ORD-0121,cashfree,3192.42,2024-06-07,captured,
pay_000122,ORD-0122,razorpay,2236.11,2024-02-25,captured,
pay_000123,ORD-0123,razorpay,226.22,2024-04-26,captured,
cf_000124,ORD-0124,cashfree,4649.05,2024-06-24,captured,
cf_000125,ORD-0125,cashfree,6678.93,2024-02-21,captured,
cf_000126,ORD-0126,cashfree,9101.52,2024-02-06,captured,
pyu_000127,ORD-0127,payu,7539.04,2024-05-26,captured,
cf_000128,ORD-0128,cashfree,7056.69,2024-03-11,captured,
cf_000129,ORD-0129,cashfree,6115.79,2024-01-07,captured,
cf_000130,ORD-0130,cashfree,9516.75,2024-06-22,captured,
cf_000131,ORD-0131,cashfree,4533.41,2024-03-12,captured,
pyu_000132,ORD-0132,payu,4805.63,2024-04-15,captured,
pay_000133,ORD-0133,razorpay,4233.71,2024-05-07,captured,
cf_000134,ORD-0134,cashfree,4656.84,2024-03-22,captured,
pay_000135,ORD-0135,razorpay,8718.93,2024-04-29,captured,
pyu_000136,ORD-0136,payu,7612.39,2024-06-10,captured,
cf_000137,ORD-0137,cashfree,9290.27,2024-04-23,captured,
cf_000138,ORD-0138,cashfree,3245.04,2024-01-05,captured,
pay_000139,ORD-0139,razorpay,9480.25,2024-06-14,captured,
pyu_000140,ORD-0140,payu,7112.33,2024-04-17,captured,
cf_000141,ORD-0141,cashfree,3958.76,2024-06-02,captured,
pyu_000142,ORD-0142,payu,9354.7,2024-05-10,captured,
pyu_000143,ORD-0143,payu,5951.4,2024-06-18,captured,
pyu_000144,ORD-0144,payu,3457.58,2024-05-20,captured,
pay_000145,ORD-0145,razorpay,2540.06,2024-04-08,captured,
pyu_000146,ORD-0146,payu,7964.67,2024-06-15,captured,
pay_000147,ORD-0147,razorpay,9659.5,2024-03-25,captured,
cf_000148,ORD-0148,cashfree,4217.38,2024-06-16,captured,
pyu_000149,ORD-0149,payu,6307.32,2024-04-11,captured,
cf_000150,ORD-0150,cashfree,9549.61,2024-06-10,captured,
pay_000151,ORD-0151,razorpay,1085.63,2024-01-26,captured,
pyu_000152,ORD-0152,payu,483.65,2024-03-24,captured,
pyu_000153,ORD-0153,payu,2592.89,2024-04-15,captured,
cf_000154,ORD-0154,cashfree,3948.55,2024-06-23,captured,
pay_000155,ORD-0155,razorpay,4718.81,2024-03-12,captured,
cf_000156,ORD-0156,cashfree,1748.0,2024-04-29,captured,
pyu_000157,ORD-0157,payu,3160.49,2024-04-13,captured,
cf_000158,ORD-0158,cashfree,414.99,2024-06-23,captured,
pyu_000159,ORD-0159,payu,8028.03,2024-06-09,captured,
cf_000160,ORD-0160,cashfree,6659.32,2024-02-09,captured,
pay_000161,ORD-0161,razorpay,3775.28,2024-02-08,captured,
pay_000162,ORD-0162,razorpay,5485.66,2024-04-09,captured,
pyu_000163,ORD-0163,payu,8729.02,2024-02-03,captured,
cf_000164,ORD-0164,cashfree,9802.45,2024-05-25,captured,
pay_000165,ORD-0165,razorpay,3811.77,2024-06-26,captured,
pay_000166,ORD-0166,razorpay,445.22,2024-05-26,captured,
pyu_000167,ORD-0167,payu,7069.86,2024-06-18,captured,
pyu_000168,ORD-0168,payu,1152.38,2024-05-22,captured,
cf_000169,ORD-0169,cashfree,8876.17,2024-06-20,captured,
pyu_000170,ORD-0170,payu,4544.71,2024-03-06,captured,
cf_000171,ORD-0171,cashfree,793.33,2024-03-16,captured,
pay_000172,ORD-0172,razorpay,6466.39,2024-01-09,captured,
pay_000173,ORD-0173,razorpay,8331.38,2024-05-24,captured,
pay_000174,ORD-0174,razorpay,9024.3,2024-01-06,captured,
pay_000175,ORD-0175,razorpay,8690.32,2024-02-06,captured,
pay_000176,ORD-0176,razorpay,2800.34,2024-02-07,captured,
pay_000177,ORD-0177,razorpay,5137.12,2024-06-06,captured,INV-0177
pyu_000178,ORD-0178,payu,9646.49,2024-01-17,captured,Inv0178
pyu_000179,ORD-0179,payu,9114.16,2024-01-19,captured,Inv0179
pay_000180,ORD-0180,razorpay,6317.69,2024-05-30,captured,INV-0180
pyu_000181,ORD-0181,payu,6132.58,2024-01-26,captured,INV0181 
pyu_000182,ORD-0182,payu,8902.4,2024-04-16,captured,Inv0182
pyu_000183,ORD-0183,payu,3262.42,2024-03-07,captured,INV183
pay_000184,ORD-0184,razorpay,8350.53,2024-01-25,captured,INV-0184
pay_000185,ORD-0185,razorpay,787.75,2024-05-24,captured,INV-0185
cf_000186,ORD-0186,cashfree,4344.36,2024-01-15,captured,Inv0186
cf_000187,ORD-0187,cashfree,2284.63,2024-06-18,captured,INV-0187
cf_000188,ORD-0188,cashfree,1325.76,2024-03-12,captured,
cf_000189,ORD-0189,cashfree,6814.1,2024-05-22,captured,
cf_000190,ORD-0190,cashfree,483.71,2024-03-11,captured,
pay_000191,ORD-0191,razorpay,1603.72,2024-06-18,captured,
cf_000192,ORD-0192,cashfree,1099.13,2024-05-15,captured,
pyu_000193,ORD-0193,payu,3826.15,2024-03-24,captured,
cf_000194,ORD-0194,cashfree,6804.22,2024-03-11,captured,
cf_000195,ORD-0195,cashfree,4258.59,2024-02-25,captured,
pyu_000196,ORD-0196,payu,6848.49,2024-05-05,captured,
cf_000197,ORD-0197,cashfree,275.33,2024-03-18,captured,
pyu_000198,ORD-0198,payu,1375.73,2024-05-08,captured,
cf_000199,ORD-0199,cashfree,2454.85,2024-06-03,captured,
