refund_id,order_id,payment_id,amount,refund_date,status
RFD-0057,ORD-0057,cf_000057,560.36,2024-07-05,processed
RFD-0086,ORD-0086,pay_000086,3623.8,2024-04-02,processed
RFD-0087,ORD-0087,cf_000087,163.05,2024-06-04,processed
RFD-0094,ORD-0094,cf_000094,683.08,2024-04-01,processed
RFD-0097,ORD-0097,pyu_000097,755.55,2024-02-05,processed
RFD-0107,ORD-0107,pyu_000107,2802.93,2024-06-04,processed
RFD-0112,ORD-0112,pyu_000112,1550.9,2024-02-04,processed
RFD-0117,ORD-0117,pyu_000117,561.96,2024-01-23,processed
RFD-0122,ORD-0122,pay_000122,706.34,2024-03-05,processed
RFD-0123,ORD-0123,pay_000123,81.28,2024-05-01,processed
RFD-0128,ORD-0128,cf_000128,958.83,2024-03-18,processed
RFD-0130,ORD-0130,cf_000130,7429.17,2024-06-30,processed
RFD-0134,ORD-0134,cf_000134,3703.55,2024-03-31,processed
RFD-0137,ORD-0137,cf_000137,6196.8,2024-04-27,processed
RFD-0145,ORD-0145,pay_000145,1956.44,2024-04-16,processed
RFD-0147,ORD-0147,pay_000147,8880.92,2024-03-27,processed
RFD-0150,ORD-0150,cf_000150,1543.01,2024-06-15,processed
RFD-0158,ORD-0158,cf_000158,364.59,2024-06-19,processed
RFD-0176,ORD-0176,pay_000176,440.22,2024-02-11,processed
RFD-0204,ORD-0204,pay_000204,2578.97,2024-04-03,processed
