settlement_id,payment_id,order_id,gateway,settlement_date,gross_amount,net_amount,mdr_fee,gst_on_fee,refund_amount,narration
SETL-CAS-0001,cf_000001,ORD-0001,cashfree,2024-03-12,445.08,434.58,8.9,1.6,0.0,
SETL-RAZ-0002,pay_000002,ORD-0002,razorpay,2024-05-22,7457.8,7281.79,149.16,26.85,0.0,
SETL-RAZ-0003,pay_000003,ORD-0003,razorpay,2024-05-12,2342.43,2287.15,46.85,8.43,0.0,
SETL-CAS-0004,cf_000004,ORD-0004,cashfree,2024-03-01,5539.88,5409.14,110.8,19.94,0.0,
SETL-RAZ-0005,pay_000005,ORD-0005,razorpay,2024-06-30,8096.22,7905.15,161.92,29.15,0.0,
SETL-RAZ-0006,pay_000006,ORD-0006,razorpay,2024-01-26,3498.29,3415.73,69.97,12.59,0.0,
SETL-PAY-0007,pyu_000007,ORD-0007,payu,2024-01-16,2792.04,2726.15,55.84,10.05,0.0,
SETL-PAY-0008,pyu_000008,ORD-0008,payu,2024-06-13,5609.45,5477.07,112.19,20.19,0.0,
SETL-RAZ-0009,pay_000009,ORD-0009,razorpay,2024-03-16,6679.72,6522.08,133.59,24.05,0.0,
SETL-PAY-0010,pyu_000010,ORD-0010,payu,2024-04-05,4642.97,4533.4,92.86,16.71,0.0,
SETL-CAS-0011,cf_000011,ORD-0011,cashfree,2024-06-26,7077.14,6910.12,141.54,25.48,0.0,
SETL-CAS-0012,cf_000012,ORD-0012,cashfree,2024-05-01,2598.9,2537.56,51.98,9.36,0.0,
SETL-CAS-0013,cf_000013,ORD-0013,cashfree,2024-06-26,5657.55,5524.03,113.15,20.37,0.0,
SETL-RAZ-0014,pay_000014,ORD-0014,razorpay,2024-03-10,3291.12,3213.45,65.82,11.85,0.0,
SETL-CAS-0015,cf_000015,ORD-0015,cashfree,2024-02-27,7234.84,7064.09,144.7,26.05,0.0,
SETL-CAS-0016,cf_000016,ORD-0016,cashfree,2024-02-08,1600.0,1562.24,32.0,5.76,0.0,
SETL-PAY-0017,pyu_000017,ORD-0017,payu,2024-06-01,5928.36,5788.45,118.57,21.34,0.0,
SETL-RAZ-0018,pay_000018,ORD-0018,razorpay,2024-01-14,5035.96,4917.11,100.72,18.13,0.0,
SETL-CAS-0019,cf_000019,ORD-0019,cashfree,2024-04-12,6044.21,5901.57,120.88,21.76,0.0,
SETL-CAS-0020,cf_000020,ORD-0020,cashfree,2024-01-06,9715.6,9486.31,194.31,34.98,0.0,
SETL-PAY-0021,pyu_000021,ORD-0021,payu,2024-02-01,6480.78,6327.83,129.62,23.33,0.0,
SETL-RAZ-0022,pay_000022,ORD-0022,razorpay,2024-03-11,8782.48,8575.21,175.65,31.62,0.0,
SETL-CAS-0023,cf_000023,ORD-0023,cashfree,2024-05-10,8447.52,8248.16,168.95,30.41,0.0,
SETL-RAZ-0024,pay_000024,ORD-0024,razorpay,2024-05-18,9543.34,9318.11,190.87,34.36,0.0,
SETL-RAZ-0025,pay_000025,ORD-0025,razorpay,2024-03-20,9304.24,9084.67,186.08,33.5,0.0,
SETL-CAS-0026,cf_000026,ORD-0026,cashfree,2024-05-07,1039.32,1014.79,20.79,3.74,0.0,
SETL-RAZ-0027,pay_000027,ORD-0027,razorpay,2024-05-22,4857.29,4742.65,97.15,17.49,0.0,
SETL-CAS-0028,cf_000028,ORD-0028,cashfree,2024-05-21,9649.79,9422.05,193.0,34.74,0.0,
SETL-CAS-0029,cf_000029,ORD-0029,cashfree,2024-05-14,3859.15,3768.08,77.18,13.89,0.0,
SETL-RAZ-0030,pay_000030,ORD-0030,razorpay,2024-05-24,406.11,396.53,8.12,1.46,0.0,
SETL-RAZ-0031,pay_000031,ORD-0031,razorpay,2024-02-29,6384.18,6233.52,127.68,22.98,0.0,
SETL-RAZ-0032,pay_000032,ORD-0032,razorpay,2024-06-22,2532.21,2472.45,50.64,9.12,0.0,
SETL-CAS-0033,cf_000033,ORD-0033,cashfree,2024-05-29,8846.47,8637.69,176.93,31.85,0.0,
SETL-PAY-0034,pyu_000034,ORD-0034,payu,2024-06-20,1124.3,1097.76,22.49,4.05,0.0,
SETL-PAY-0035,pyu_000035,ORD-0035,payu,2024-06-22,7344.21,7170.89,146.88,26.44,0.0,
SETL-PAY-0036,pyu_000036,ORD-0036,payu,2024-03-05,8643.53,8439.54,172.87,31.12,0.0,
SETL-RAZ-0037,pay_000037,ORD-0037,razorpay,2024-04-29,1998.0,1950.85,39.96,7.19,0.0,
SETL-CAS-0038,cf_000038,ORD-0038,cashfree,2024-05-19,695.72,679.31,13.91,2.5,0.0,
SETL-RAZ-0039,pay_000039,ORD-0039,razorpay,2024-05-05,4182.45,4083.74,83.65,15.06,0.0,
SETL-RAZ-0040,pay_000040,ORD-0040,razorpay,2024-04-12,221.12,215.9,4.42,0.8,0.0,
SETL-CAS-0041,cf_000041,ORD-0041,cashfree,2024-05-24,9954.15,9719.24,199.08,35.83,0.0,
SETL-RAZ-0042,pay_000042,ORD-0042,razorpay,2024-05-21,5875.39,5736.73,117.51,21.15,0.0,
SETL-RAZ-0043,pay_000043,ORD-0043,razorpay,2024-05-16,4872.05,4757.07,97.44,17.54,0.0,
SETL-RAZ-0044,pay_000044,ORD-0044,razorpay,2024-06-04,2020.9,1973.2,40.42,7.28,0.0,
SETL-PAY-0045,pyu_000045,ORD-0045,payu,2024-05-28,9426.7,9204.23,188.53,33.94,0.0,
SETL-CAS-0046,cf_000046,ORD-0046,cashfree,2024-06-01,4307.98,4206.31,86.16,15.51,0.0,
SETL-CAS-0047,cf_000047,ORD-0047,cashfree,2024-04-14,2538.88,2478.96,50.78,9.14,0.0,
SETL-PAY-0048,pyu_000048,ORD-0048,payu,2024-01-21,9303.45,9083.89,186.07,33.49,0.0,
SETL-CAS-0049,cf_000049,ORD-0049,cashfree,2024-02-26,917.88,896.22,18.36,3.3,0.0,
SETL-RAZ-0050,pay_000050,ORD-0050,razorpay,2024-03-15,2593.74,2532.53,51.87,9.34,0.0,
